Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Gabon,GAB,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5264760491.82103
Gabon,GAB,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6887457550.11629
Gabon,GAB,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7633207258.84415
Gabon,GAB,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7731214900.11824
Gabon,GAB,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7665284458.81599
Gabon,GAB,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6762655203.2768
Gabon,GAB,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5703766006.62054
Gabon,GAB,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5109302739.50188
Gabon,GAB,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4117842743.75345
Gabon,GAB,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3386896487.02046
Gabon,GAB,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3128460199.66821
Gabon,GAB,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2445767777.63444
Gabon,GAB,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2181681113.28211
Gabon,GAB,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2212732324.91334
Gabon,GAB,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2477238446.47768
Gabon,GAB,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2426128156.47684
Gabon,GAB,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2725878740.13838
Gabon,GAB,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2737738308.1744
Gabon,GAB,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2683330033.77337
Gabon,GAB,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2421527553.62119
Gabon,GAB,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2113274633.98762
Gabon,GAB,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2526110622.60773
Gabon,GAB,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2680098129.17656
Gabon,GAB,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2385265936.38306
Gabon,GAB,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2448388588.94843
Gabon,GAB,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2000230091.26819
Gabon,GAB,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1894924878.97759
Gabon,GAB,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1742882782.09648
Gabon,GAB,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2126472556.31934
Gabon,GAB,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2185846779.07309
Gabon,GAB,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2023541621.46819
Gabon,GAB,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2056756377.91385
Gabon,GAB,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1982068188.44869
Gabon,GAB,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2064575133.77512
Gabon,GAB,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1925979062.20167
Gabon,GAB,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1665556888.8091
Gabon,GAB,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1366682875.77488
Gabon,GAB,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,140995975.044941
Gabon,GAB,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1112065880.72226
Gabon,GAB,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1462632469.494
Gabon,GAB,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977634348.88967
Gabon,GAB,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2604448146.00985
Gabon,GAB,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2453186895.57335
Gabon,GAB,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,804085379.931301
Gabon,GAB,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,3829611012.16299
Gabon,GAB,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2748153648.13967
Gabon,GAB,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982970941.84373
Gabon,GAB,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,924480491.200408
Gabon,GAB,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,765896007.592374
Gabon,GAB,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,338032980.729283
Gabon,GAB,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,517388917.96551
Gabon,GAB,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1000995434.25058
Gabon,GAB,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,390390350.60752
Gabon,GAB,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-595536813.594077
Gabon,GAB,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,531357331.205347
Gabon,GAB,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,888616636.534866
Gabon,GAB,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,514659207.568302
Gabon,GAB,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,317360428.286558
Gabon,GAB,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-49088407.1777539
Gabon,GAB,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-168120054.621309
Gabon,GAB,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,74794339.8093068
Gabon,GAB,1990,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,167704389.330171
Gabon,GAB,1989,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-192189357.137164
Gabon,GAB,1988,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-615514844.193765
Gabon,GAB,1987,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-449096771.858652
Gabon,GAB,1986,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1057446599.20987
Gabon,GAB,1985,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-162488355.504303
Gabon,GAB,1984,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,112688520.064571
Gabon,GAB,1983,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,97935781.3919371
Gabon,GAB,1982,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,309367211.25974
Gabon,GAB,1981,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,403302595.159473
Gabon,GAB,1980,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,383851621.804177
Gabon,GAB,1979,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,247647578.04816
Gabon,GAB,1978,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,73873552.3319304
Gabon,GAB,2022,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,18220000
Gabon,GAB,2021,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,46310000
Gabon,GAB,2020,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,18780000
Gabon,GAB,2019,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,13760000
Gabon,GAB,2018,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,20840000
Gabon,GAB,2017,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,25930000
Gabon,GAB,2016,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,24880000
Gabon,GAB,2015,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,28230000
Gabon,GAB,2014,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,25670000
Gabon,GAB,2013,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,26230000
Gabon,GAB,2012,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,25660000
Gabon,GAB,2011,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,59720000
Gabon,GAB,2010,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,57770000
Gabon,GAB,2009,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,56340000
Gabon,GAB,2008,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,28470000
Gabon,GAB,2007,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,31130000
Gabon,GAB,2006,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,22690000
Gabon,GAB,2005,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,47200000
Gabon,GAB,2004,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,33490000
Gabon,GAB,2003,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,85510000
Gabon,GAB,2002,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,55910000
Gabon,GAB,2001,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,35890000
Gabon,GAB,2000,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,39170000
Gabon,GAB,1999,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,38470000
Gabon,GAB,1998,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,52000000
Gabon,GAB,1997,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,58380000
Gabon,GAB,1996,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,77830000
Gabon,GAB,1995,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,87160000
Gabon,GAB,1994,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,146820000
Gabon,GAB,1993,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,64590000
Gabon,GAB,1992,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,29650000
