Country Name,Year,Indicator Name,Value
Gabon,2015,"Imports of goods, services and primary income (BoP, current US$)",5264760492
Gabon,2014,"Imports of goods, services and primary income (BoP, current US$)",6887457550
Gabon,2013,"Imports of goods, services and primary income (BoP, current US$)",7633207259
Gabon,2012,"Imports of goods, services and primary income (BoP, current US$)",7731214900
Gabon,2011,"Imports of goods, services and primary income (BoP, current US$)",7665284459
Gabon,2010,"Imports of goods, services and primary income (BoP, current US$)",6762655203
Gabon,2009,"Imports of goods, services and primary income (BoP, current US$)",5703766007
Gabon,2008,"Imports of goods, services and primary income (BoP, current US$)",5109302740
Gabon,2007,"Imports of goods, services and primary income (BoP, current US$)",4117842744
Gabon,2005,"Imports of goods, services and primary income (BoP, current US$)",3386896487
Gabon,2004,"Imports of goods, services and primary income (BoP, current US$)",3128460200
Gabon,2003,"Imports of goods, services and primary income (BoP, current US$)",2445767778
Gabon,2002,"Imports of goods, services and primary income (BoP, current US$)",2181681113
Gabon,2001,"Imports of goods, services and primary income (BoP, current US$)",2212732325
Gabon,2000,"Imports of goods, services and primary income (BoP, current US$)",2477238446
Gabon,1999,"Imports of goods, services and primary income (BoP, current US$)",2426128156
Gabon,1998,"Imports of goods, services and primary income (BoP, current US$)",2725878740
Gabon,1997,"Imports of goods, services and primary income (BoP, current US$)",2737738308
Gabon,1996,"Imports of goods, services and primary income (BoP, current US$)",2683330034
Gabon,1995,"Imports of goods, services and primary income (BoP, current US$)",2421527554
Gabon,1994,"Imports of goods, services and primary income (BoP, current US$)",2113274634
Gabon,1993,"Imports of goods, services and primary income (BoP, current US$)",2526110623
Gabon,1992,"Imports of goods, services and primary income (BoP, current US$)",2680098129
Gabon,1991,"Imports of goods, services and primary income (BoP, current US$)",2385265936
Gabon,1990,"Imports of goods, services and primary income (BoP, current US$)",2448388589
Gabon,1989,"Imports of goods, services and primary income (BoP, current US$)",2000230091
Gabon,1988,"Imports of goods, services and primary income (BoP, current US$)",1894924879
Gabon,1987,"Imports of goods, services and primary income (BoP, current US$)",1742882782
Gabon,1986,"Imports of goods, services and primary income (BoP, current US$)",2126472556
Gabon,1985,"Imports of goods, services and primary income (BoP, current US$)",2185846779
Gabon,1984,"Imports of goods, services and primary income (BoP, current US$)",2023541621
Gabon,1983,"Imports of goods, services and primary income (BoP, current US$)",2056756378
Gabon,1982,"Imports of goods, services and primary income (BoP, current US$)",1982068188
Gabon,1981,"Imports of goods, services and primary income (BoP, current US$)",2064575134
Gabon,1980,"Imports of goods, services and primary income (BoP, current US$)",1925979062
Gabon,2015,"Exports of goods, services and primary income (BoP, current US$)",5501128936
Gabon,2014,"Exports of goods, services and primary income (BoP, current US$)",8557981460
Gabon,2013,"Exports of goods, services and primary income (BoP, current US$)",9670499631
Gabon,2012,"Exports of goods, services and primary income (BoP, current US$)",10164625218
Gabon,2011,"Exports of goods, services and primary income (BoP, current US$)",10660911362
Gabon,2010,"Exports of goods, services and primary income (BoP, current US$)",9442190173
Gabon,2009,"Exports of goods, services and primary income (BoP, current US$)",6867811011
Gabon,2008,"Exports of goods, services and primary income (BoP, current US$)",9281095980
Gabon,2007,"Exports of goods, services and primary income (BoP, current US$)",7120435056
Gabon,2005,"Exports of goods, services and primary income (BoP, current US$)",5638895999
Gabon,2004,"Exports of goods, services and primary income (BoP, current US$)",4236797956
Gabon,2003,"Exports of goods, services and primary income (BoP, current US$)",3392670226
Gabon,2002,"Exports of goods, services and primary income (BoP, current US$)",2650855481
Gabon,2001,"Exports of goods, services and primary income (BoP, current US$)",2808421359
Gabon,2000,"Exports of goods, services and primary income (BoP, current US$)",3541297780
Gabon,1999,"Exports of goods, services and primary income (BoP, current US$)",2859456687
Gabon,1998,"Exports of goods, services and primary income (BoP, current US$)",2183776803
Gabon,1997,"Exports of goods, services and primary income (BoP, current US$)",3303503818
Gabon,1996,"Exports of goods, services and primary income (BoP, current US$)",3608871527
Gabon,1995,"Exports of goods, services and primary income (BoP, current US$)",2978480794
Gabon,1994,"Exports of goods, services and primary income (BoP, current US$)",2596699940
Gabon,1993,"Exports of goods, services and primary income (BoP, current US$)",2669491150
Gabon,1992,"Exports of goods, services and primary income (BoP, current US$)",2654030076
Gabon,1991,"Exports of goods, services and primary income (BoP, current US$)",2579873010
Gabon,1990,"Exports of goods, services and primary income (BoP, current US$)",2750410751
Gabon,1989,"Exports of goods, services and primary income (BoP, current US$)",1933993570
Gabon,1988,"Exports of goods, services and primary income (BoP, current US$)",1423678146
Gabon,1987,"Exports of goods, services and primary income (BoP, current US$)",1417165341
Gabon,1986,"Exports of goods, services and primary income (BoP, current US$)",1215861456
Gabon,1985,"Exports of goods, services and primary income (BoP, current US$)",2119093001
Gabon,1984,"Exports of goods, services and primary income (BoP, current US$)",2203353502
Gabon,1983,"Exports of goods, services and primary income (BoP, current US$)",2244177962
Gabon,1982,"Exports of goods, services and primary income (BoP, current US$)",2350655210
Gabon,1981,"Exports of goods, services and primary income (BoP, current US$)",2533015569
Gabon,1980,"Exports of goods, services and primary income (BoP, current US$)",2433884334
